frameNo,frameName,chapterNo,chapterName
14,Konstitusjonelle institusjoner,2,H.K.H. Kronprinsen og H.K.H. Kronprinsessen
14,Konstitusjonelle institusjoner,41,Stortinget
14,Konstitusjonelle institusjoner,42,Ombudsmannsnemnda for Forsvaret
14,Konstitusjonelle institusjoner,43,Stortingets ombudsmann for forvaltningen
14,Konstitusjonelle institusjoner,44,"Stortingets kontrollutvalg for etterretnings-, overvåkings- og sikkerhetstjeneste"
14,Konstitusjonelle institusjoner,51,Riksrevisjonen
14,Konstitusjonelle institusjoner,3041,Stortinget
14,Konstitusjonelle institusjoner,3051,Riksrevisjonen
15,Helse,700,Helse- og omsorgsdepartementet
15,Helse,701,IKT i helse- og omsorgssektoren
15,Helse,702,Beredskap
15,Helse,703,Internasjonalt samarbeid
15,Helse,710,Nasjonalt folkehelseinstitutt
15,Helse,711,Ernæring og mattrygghet
15,Helse,712,Bioteknologinemnda
15,Helse,713,Vitenskapskomiteen for mattrygghet
15,Helse,715,Statens strålevern
15,Helse,716,Statens institutt for rusmiddelforskning
15,Helse,718,Rusmiddelforebygging
15,Helse,719,Annet folkehelsearbeid
15,Helse,720,Helsedirektoratet
15,Helse,721,Statens helsetilsyn
15,Helse,722,Norsk pasientskadeerstatning
15,Helse,723,Pasientskadenemnda
15,Helse,724,Statens autorisasjonskontor for helsepersonell
15,Helse,725,Nasjonalt kunnskapssenter for helsetjenesten
15,Helse,726,Statens helsepersonellnemnd
15,Helse,728,Klagenemnda for behandling i utlandet og Preimplantasjonsdiagnostikknemnda
15,Helse,729,Pasient- og brukerombud
15,Helse,732,Regionale helseforetak
15,Helse,733,Habilitering og rehabilitering
15,Helse,734,Særskilte tilskudd til psykisk helse- og rustiltak
15,Helse,750,Statens legemiddelverk
15,Helse,751,Legemiddeltiltak
15,Helse,761,Omsorgstjeneste
15,Helse,762,Primærhelsetjeneste
15,Helse,763,Rustiltak
15,Helse,764,Psykisk helse
15,Helse,769,Utredningsvirksomhet mv.
15,Helse,770,Tannhelsetjenester
15,Helse,780,Forskning
15,Helse,781,Forsøk og utvikling mv.
15,Helse,782,Helseregistre
15,Helse,783,Personell
15,Helse,2711,Spesialisthelsetjeneste mv.
15,Helse,2751,Legemidler mv.
15,Helse,2752,Refusjon av egenbetaling
15,Helse,2755,Helsetjenester i kommunene mv.
15,Helse,2756,Andre helsetjenester
15,Helse,2790,Andre helsetiltak
15,Helse,3710,Nasjonalt folkehelseinstitutt
15,Helse,3713,Vitenskapskomiteen for mattrygghet
15,Helse,3715,Statens strålevern
15,Helse,3716,Statens institutt for rusmiddelforskning
15,Helse,3718,Rusmiddelforebygging
15,Helse,3720,Helsedirektoratet
15,Helse,3722,Norsk pasientskadeerstatning
15,Helse,3723,Pasientskadenemnda
15,Helse,3724,Statens autorisasjonskontor for helsepersonell
15,Helse,3725,Nasjonalt kunnskapssenter for helsetjenesten
15,Helse,3732,Regionale helseforetak
15,Helse,3750,Statens legemiddelverk
16,"Kirke, utdanning og forskning",200,Kunnskapsdepartementet
16,"Kirke, utdanning og forskning",220,Utdanningsdirektoratet
16,"Kirke, utdanning og forskning",221,Foreldreutvalgene for grunnopplæringen og barnehagene
16,"Kirke, utdanning og forskning",222,Statlige grunn- og videregående skoler og grunnskoleinternat
16,"Kirke, utdanning og forskning",223,Sametinget
16,"Kirke, utdanning og forskning",224,Senter for IKT i utdanningen
16,"Kirke, utdanning og forskning",225,Tiltak i grunnopplæringen
16,"Kirke, utdanning og forskning",226,Kvalitetsutvikling i grunnopplæringen
16,"Kirke, utdanning og forskning",227,Tilskudd til særskilte skoler
16,"Kirke, utdanning og forskning",228,Tilskudd til private skoler mv.
16,"Kirke, utdanning og forskning",229,Statens fagskole for gartnere og blomsterdekoratører
16,"Kirke, utdanning og forskning",230,Statlig spesialpedagogisk støttesystem
16,"Kirke, utdanning og forskning",252,EUs utdannings- og ungdomsprogram
16,"Kirke, utdanning og forskning",253,Folkehøyskoler
16,"Kirke, utdanning og forskning",254,Tilskudd til voksenopplæring
16,"Kirke, utdanning og forskning",255,Tilskudd til freds- og menneskerettssentre
16,"Kirke, utdanning og forskning",256,"Vox, nasjonalt fagorgan for kompetansepolitikk"
16,"Kirke, utdanning og forskning",257,Program for basiskompetanse i arbeidslivet
16,"Kirke, utdanning og forskning",258,Tiltak for livslang læring
16,"Kirke, utdanning og forskning",260,Universiteter og høyskoler
16,"Kirke, utdanning og forskning",270,Internasjonal mobilitet og sosiale formål for studenter
16,"Kirke, utdanning og forskning",276,Fagskoleutdanning
16,"Kirke, utdanning og forskning",280,Felles enheter
16,"Kirke, utdanning og forskning",281,Felles tiltak for universiteter og høyskoler
16,"Kirke, utdanning og forskning",283,Meteorologiformål
16,"Kirke, utdanning og forskning",284,De nasjonale forskningsetiske komiteene
16,"Kirke, utdanning og forskning",285,Norges forskningsråd
16,"Kirke, utdanning og forskning",287,Forskningsinstitutter og andre tiltak
16,"Kirke, utdanning og forskning",288,Internasjonale samarbeidstiltak
16,"Kirke, utdanning og forskning",310,Tilskudd til trossamfunn m.m.
16,"Kirke, utdanning og forskning",920,Norges forskningsråd
16,"Kirke, utdanning og forskning",1020,Havforskningsinstituttet
16,"Kirke, utdanning og forskning",1021,Drift av forskningsfartøyene
16,"Kirke, utdanning og forskning",1022,NIFES
16,"Kirke, utdanning og forskning",1023,"Fiskeri-, havbruks- og transportrettet FoU"
16,"Kirke, utdanning og forskning",1137,Forskning og innovasjon
16,"Kirke, utdanning og forskning",1590,Den norske kirke
16,"Kirke, utdanning og forskning",1592,Kirkebygg og gravplasser
16,"Kirke, utdanning og forskning",2410,Statens lånekasse for utdanning
